OBJECTID,LST_2015,LST_2020,NDVI_2015
1,22.67820495470,33.65610000000,0.65565300000
2,23.73532205870,26.92520000000,0.68479400000
3,23.60432846740,28.76450000000,0.60056100000
4,24.61637589000,30.48910000000,0.45510100000
5,25.89925905370,28.79470000000,0.57678600000
6,25.65833230260,27.32170000000,0.55540700000
7,26.91744923370,30.07120000000,0.51071000000
8,27.48232411670,30.55320000000,0.50140500000
9,27.28397480650,30.35990000000,0.52209000000
10,26.78222756530,29.38180000000,0.53726000000
11,27.16869001000,29.80330000000,0.47951600000
12,26.61308554630,30.48770000000,0.55990400000
13,26.70438844560,30.07970000000,0.51271500000
14,27.56742271530,31.44940000000,0.48198400000
15,27.59349971460,30.96860000000,0.50751800000
16,26.39678084790,28.41380000000,0.53775200000
17,23.86606842490,25.59590000000,0.55907200000
18,23.11025046770,24.21740000000,0.61289000000
19,24.76577566110,25.20410000000,0.58399300000
20,25.83908023000,27.39410000000,0.58363200000
21,28.82776262210,31.93610000000,0.45386900000
22,26.37677927660,28.90880000000,0.60293400000
23,24.66394465000,27.03880000000,0.68156300000
24,25.15168895020,27.04490000000,0.62247100000
25,24.80584245110,24.76790000000,0.58990900000
26,23.18467998350,23.35810000000,0.81783300000
27,24.47753596670,29.78510000000,0.65071000000
28,27.01439307580,29.54280000000,0.51810500000
29,28.35695701830,32.17100000000,0.45838900000
30,28.12350058890,31.89360000000,0.51202800000
31,27.21509570110,30.56350000000,0.55783200000
32,26.52269790630,29.03820000000,0.57928600000
33,25.74506226610,29.61830000000,0.58703600000
34,27.47252768630,31.13850000000,0.47147700000
35,26.62241014470,29.48870000000,0.57291800000
36,25.05997079440,27.04860000000,0.44563300000
37,25.48333998840,27.78560000000,0.57942300000
38,27.18194934670,29.81750000000,0.46731900000
39,26.75398392630,29.80400000000,0.27766800000
40,27.34452683500,30.48480000000,0.52921400000
41,26.80182621210,29.18640000000,0.56406000000
42,26.58119013390,28.73830000000,0.53093300000
43,25.23915144260,28.91980000000,0.68581300000
44,24.38358705630,27.48680000000,0.67935000000
45,26.68685336940,29.74350000000,0.54485400000
46,26.33725533000,29.11350000000,0.57003900000
47,26.29407645390,29.27110000000,0.57478900000
